platform,kind,name,nested,package,doc_url
android,class,LineApiClientBuilder,false,com.linecorp.linesdk.api,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/api/LineApiClientBuilder.html
android,class,LineApiError,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LineApiError.html
android,class,LineApiError.ErrorCode,true,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LineApiError.ErrorCode.html
android,class,LineApiResponse,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LineApiResponse.html
android,class,LineApiResponseCode,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LineApiResponseCode.html
android,class,LineAuthenticationParams,false,com.linecorp.linesdk.auth,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/auth/LineAuthenticationParams.html
android,class,LineAuthenticationParams.BotPrompt,true,com.linecorp.linesdk.auth,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/auth/LineAuthenticationParams.BotPrompt.html
android,class,LineAuthenticationParams.Builder,true,com.linecorp.linesdk.auth,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/auth/LineAuthenticationParams.Builder.html
android,class,LineAuthenticationParams.WebAuthenticationMethod,true,com.linecorp.linesdk.auth,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/auth/LineAuthenticationParams.WebAuthenticationMethod.html
android,class,LineCredential,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LineCredential.html
android,class,LineFriendshipStatus,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LineFriendshipStatus.html
android,class,LineIdToken,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LineIdToken.html
android,class,LineLoginApi,false,com.linecorp.linesdk.auth,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/auth/LineLoginApi.html
android,class,LineLoginResult,false,com.linecorp.linesdk.auth,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/auth/LineLoginResult.html
android,class,LineProfile,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LineProfile.html
android,class,LoginButton,false,com.linecorp.linesdk.widget,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/widget/LoginButton.html
android,class,LoginDelegate,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LoginDelegate.html
android,class,LoginDelegate.Factory,true,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LoginDelegate.Factory.html
android,class,LoginListener,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/LoginListener.html
android,class,Scope,false,com.linecorp.linesdk,https://developers.line.biz/en/reference/android-sdk/reference/com/linecorp/linesdk/Scope.html
