product_id,emoji_id_from,emoji_id_to,count,emoji_ids
670e0cce840a8236ddd4ee4c,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac2213e040ab15980c9b447,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21a8c040ab15980c9b43f,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21c4e031a6752fb806d5b,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21e6c040ab15980c9b444,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac1bfd5040ab15980c9b435,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22e85040ab15980c9b44f,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22775040ab15980c9b44c,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac2197b040ab15980c9b43d,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21d59031a6752fb806d5d,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac221ca040ab15980c9b449,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22bad031a6752fb806d67,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac2211e031a6752fb806d61,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21b4f031a6752fb806d59,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21cce040ab15980c9b443,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21fda040ab15980c9b446,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22224031a6752fb806d62,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22c9e031a6752fb806d68,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac222bf031a6752fb806d64,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21869040ab15980c9b43b,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac2280f031a6752fb806d65,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22293031a6752fb806d63,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac2173d031a6752fb806d56,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21542031a6752fb806d55,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac2216f040ab15980c9b448,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21f52040ab15980c9b445,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21ef5031a6752fb806d5e,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac223c6040ab15980c9b44a,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22b23040ab15980c9b44d,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22def040ab15980c9b44e,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21c46040ab15980c9b442,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22d62031a6752fb806d69,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21a13031a6752fb806d57,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21a18040ab15980c9b43e,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21ba5040ab15980c9b441,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac2264e040ab15980c9b44b,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac2206d031a6752fb806d5f,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac220c2031a6752fb806d60,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac22a8c031a6752fb806d66,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac1de17040ab15980c9b438,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21bf9031a6752fb806d5a,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21cc5031a6752fb806d5c,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21ae3040ab15980c9b440,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac218e3040ab15980c9b43c,001,009,9,"001,002,003,004,005,006,007,008,009"
5ac21184040ab15980c9b43a,001,009,9,"001,002,003,004,005,006,007,008,009"
